CustomerID,Recency,Frequency,Monetary,Cluster
12747.0,2,11,3073.41,3
12748.0,1,203,26279.22,2
12749.0,4,5,4032.98,1
12820.0,3,4,923.62,1
12821.0,214,1,92.72,0
12822.0,71,2,806.08,1
12824.0,60,1,397.12,1
12826.0,3,7,1460.8,1
12827.0,6,3,430.15,1
12828.0,3,6,1018.71,1
12829.0,337,2,221.0,0
12831.0,262,1,150.25,0
12832.0,32,2,383.03,1
12833.0,145,1,417.38,0
12834.0,283,1,312.38,0
12836.0,59,4,2518.27,1
12837.0,173,1,134.1,0
12838.0,34,2,683.13,1
12839.0,3,14,5287.57,3
12840.0,144,4,2726.77,1
12841.0,5,25,3628.69,3
12842.0,70,2,738.51,1
12843.0,66,8,1608.54,1
12844.0,29,2,325.96000000000004,1
12845.0,269,2,71.79,0
12847.0,22,1,700.54,1
12849.0,31,2,878.49,1
12851.0,97,1,135.18,1
12852.0,295,1,311.55,0
12853.0,135,6,1743.9,1
12854.0,79,3,1189.3,1
12855.0,373,1,38.1,0
12856.0,8,6,2139.13,1
12857.0,211,2,1106.4,0
12863.0,52,1,109.2,1
12864.0,138,1,10.2,0
12867.0,26,7,3720.42,1
12868.0,186,6,1607.0600000000002,0
12871.0,84,2,135.84,1
12872.0,327,2,562.47,0
12873.0,282,1,68.0,0
12877.0,4,12,1512.61,1
12878.0,236,2,854.99,0
12879.0,45,3,220.66,1
12881.0,276,1,298.0,0
12882.0,9,2,995.4,1
12883.0,25,4,703.47,1
12884.0,88,1,309.05,1
12885.0,63,3,1175.22,1
12886.0,68,2,1319.96,1
12888.0,214,2,354.12,0
12890.0,24,1,373.63,1
12893.0,31,1,188.14,1
12895.0,42,2,372.8,1
12897.0,205,2,100.5,0
12901.0,10,15,1315.35,1
12902.0,265,1,138.68,0
12904.0,18,2,478.83,1
12906.0,12,5,1190.17,1
12909.0,40,5,1802.63,1
12910.0,23,8,2297.02,1
12912.0,8,4,834.66,1
12913.0,5,5,1118.45,1
12915.0,149,2,363.65,0
12916.0,139,4,2475.75,1
12919.0,8,6,1227.91,1
12920.0,17,1,150.19,1
12921.0,9,37,13833.57,3
12922.0,161,1,377.3,0
12923.0,64,1,176.97,1
12924.0,88,4,664.9,1
12925.0,5,2,680.13,1
12928.0,35,5,1739.74,1
12929.0,312,1,117.85,0
12930.0,78,2,402.36,1
12931.0,67,2,48.16,1
12933.0,24,3,508.07,1
12935.0,2,7,2005.9,1
12936.0,17,3,911.9,1
12937.0,15,4,1279.87,1
12938.0,26,1,100.22,1
12939.0,335,1,81.36,0
12940.0,55,2,904.42,1
12942.0,131,3,683.9,1
12944.0,36,2,604.51,1
12945.0,288,1,404.95,0
12947.0,144,5,1534.99,1
12948.0,16,7,2032.31,1
12949.0,31,8,4084.82,3
